ticker,status,cik,full_text_path,risk_factors_path,mda_path
BWIN,cached,,data/raw/s1_filings/BWIN_2019-10-24.txt,data/raw/s1_filings/BWIN_2019-10-24_risk_factors.txt,data/raw/s1_filings/BWIN_2019-10-24_mda.txt
GLEO,cik_not_found,,,,
LATN,cik_not_found,,,,
BRBR,cached,,data/raw/s1_filings/BRBR_2019-10-17.txt,data/raw/s1_filings/BRBR_2019-10-17_risk_factors.txt,data/raw/s1_filings/BRBR_2019-10-17_mda.txt
IPHA,no_filing,0001598599,,,
HBT,cached,,data/raw/s1_filings/HBT_2019-10-11.txt,data/raw/s1_filings/HBT_2019-10-11_risk_factors.txt,data/raw/s1_filings/HBT_2019-10-11_mda.txt
VIR,cached,,data/raw/s1_filings/VIR_2019-10-11.txt,data/raw/s1_filings/VIR_2019-10-11_risk_factors.txt,data/raw/s1_filings/VIR_2019-10-11_mda.txt
BNTX,no_filing,0001776985,,,
APRE,cached,,data/raw/s1_filings/APRE_2019-10-03.txt,data/raw/s1_filings/APRE_2019-10-03_risk_factors.txt,data/raw/s1_filings/APRE_2019-10-03_mda.txt
KRRO,cached,,data/raw/s1_filings/KRRO_2019-10-03.txt,data/raw/s1_filings/KRRO_2019-10-03_risk_factors.txt,data/raw/s1_filings/KRRO_2019-10-03_mda.txt
MCBS,cached,,data/raw/s1_filings/MCBS_2019-10-03.txt,data/raw/s1_filings/MCBS_2019-10-03_risk_factors.txt,data/raw/s1_filings/MCBS_2019-10-03_mda.txt
VIE,cik_not_found,,,,
OPRT,cached,,data/raw/s1_filings/OPRT_2019-09-26.txt,data/raw/s1_filings/OPRT_2019-09-26_risk_factors.txt,data/raw/s1_filings/OPRT_2019-09-26_mda.txt
PTON,cached,,data/raw/s1_filings/PTON_2019-09-26.txt,data/raw/s1_filings/PTON_2019-09-26_risk_factors.txt,data/raw/s1_filings/PTON_2019-09-26_mda.txt
DDOG,no_filing,0001561550,,,
PING,cik_not_found,,,,
XGN,cached,,data/raw/s1_filings/XGN_2019-09-19.txt,data/raw/s1_filings/XGN_2019-09-19_risk_factors.txt,data/raw/s1_filings/XGN_2019-09-19_mda.txt
IGMS,cik_not_found,,,,
NVST,cached,,data/raw/s1_filings/NVST_2019-09-18.txt,data/raw/s1_filings/NVST_2019-09-18_risk_factors.txt,data/raw/s1_filings/NVST_2019-09-18_mda.txt
APXT,no_filing,0002079253,,,
ALRS,cached,,data/raw/s1_filings/ALRS_2019-09-13.txt,data/raw/s1_filings/ALRS_2019-09-13_risk_factors.txt,data/raw/s1_filings/ALRS_2019-09-13_mda.txt
EXPC,cik_not_found,,,,
NET,no_filing,0001477333,,,
STSA,cik_not_found,,,,
SWTX,cik_not_found,,,,
SDCCQ,cik_not_found,,,,
TXG,cached,,data/raw/s1_filings/TXG_2019-09-12.txt,data/raw/s1_filings/TXG_2019-09-12_risk_factors.txt,data/raw/s1_filings/TXG_2019-09-12_mda.txt
SONG,no_filing,0001671132,,,
NPA,cik_not_found,,,,
CFB,cik_not_found,,,,
JFU,no_filing,0001619544,,,
BTOG,no_filing,0001735556,,,
THBR,cik_not_found,,,,
INMD,no_filing,0001742692,,,
SSPK,cik_not_found,,,,
AMTD,no_filing,0001769731,,,
ORSN,cik_not_found,,,,
DT,cached,,data/raw/s1_filings/DT_2019-08-01.txt,data/raw/s1_filings/DT_2019-08-01_risk_factors.txt,data/raw/s1_filings/DT_2019-08-01_mda.txt
KRUS,cached,,data/raw/s1_filings/KRUS_2019-08-01.txt,data/raw/s1_filings/KRUS_2019-08-01_risk_factors.txt,data/raw/s1_filings/KRUS_2019-08-01_mda.txt
SNDL,no_filing,0001766600,,,
BORR,no_filing,0001715497,,,
NFIN,cik_not_found,,,,
BHAT,cik_not_found,,,,
CCX,cik_not_found,,,,
SBE,cik_not_found,,,,
VIST,no_filing,0001762506,,,
WSG,cik_not_found,,,,
CSTL,cached,,data/raw/s1_filings/CSTL_2019-07-25.txt,data/raw/s1_filings/CSTL_2019-07-25_risk_factors.txt,data/raw/s1_filings/CSTL_2019-07-25_mda.txt
FLLC,cik_not_found,,,,
HCAT,cached,,data/raw/s1_filings/HCAT_2019-07-25.txt,data/raw/s1_filings/HCAT_2019-07-25_risk_factors.txt,data/raw/s1_filings/HCAT_2019-07-25_mda.txt
LVGO,cik_not_found,,,,
NOVA,cik_not_found,,,,
PROS,cik_not_found,,,,
EIC,no_filing,0001754836,,,
AFYA,no_filing,0001771007,,,
IFS,no_filing,0001615903,,,
MDLA,cik_not_found,,,,
AMK,cik_not_found,,,,
CPAA,cik_not_found,,,,
FULC,cached,,data/raw/s1_filings/FULC_2019-07-18.txt,data/raw/s1_filings/FULC_2019-07-18_risk_factors.txt,data/raw/s1_filings/FULC_2019-07-18_mda.txt
IHRT,cached,,data/raw/s1_filings/IHRT_2019-07-18.txt,data/raw/s1_filings/IHRT_2019-07-18_risk_factors.txt,data/raw/s1_filings/IHRT_2019-07-18_mda.txt
MIRM,cached,,data/raw/s1_filings/MIRM_2019-07-18.txt,data/raw/s1_filings/MIRM_2019-07-18_risk_factors.txt,data/raw/s1_filings/MIRM_2019-07-18_mda.txt
OAC,cik_not_found,,,,
OBDC,no_filing,0001655888,,,
PHR,no_filing,0001412408,,,
DOYU,no_filing,0001762417,,,
PIC,cik_not_found,,,,
SCPE,cik_not_found,,,,
THCA,cik_not_found,,,,
RMBI,cached,,data/raw/s1_filings/RMBI_2019-07-02.txt,data/raw/s1_filings/RMBI_2019-07-02_risk_factors.txt,data/raw/s1_filings/RMBI_2019-07-02_mda.txt
KRTX,cik_not_found,,,,
REAL,cached,,data/raw/s1_filings/REAL_2019-06-28.txt,data/raw/s1_filings/REAL_2019-06-28_risk_factors.txt,data/raw/s1_filings/REAL_2019-06-28_mda.txt
ADPT,download_error: 404 Client Error: Not Found for url: https://www.sec.gov/Archives/edgar/data/1478320/000119312519182012/d757844ds1a.htm,0001478320,,,
BBIO,cached,,data/raw/s1_filings/BBIO_2019-06-27.txt,data/raw/s1_filings/BBIO_2019-06-27_risk_factors.txt,data/raw/s1_filings/BBIO_2019-06-27_mda.txt
CHNG,cik_not_found,,,,
MORF,cik_not_found,,,,
CMBM,cik_not_found,,,,
LINX,cik_not_found,,,,
AKRO,cik_not_found,,,,
BCEL,cik_not_found,,,,
GO,cached,,data/raw/s1_filings/GO_2019-06-20.txt,data/raw/s1_filings/GO_2019-06-20_risk_factors.txt,data/raw/s1_filings/GO_2019-06-20_mda.txt
PRVL,cik_not_found,,,,
PSNL,cached,,data/raw/s1_filings/PSNL_2019-06-20.txt,data/raw/s1_filings/PSNL_2019-06-20_risk_factors.txt,data/raw/s1_filings/PSNL_2019-06-20_mda.txt
SMMC,cik_not_found,,,,
WORK,cik_not_found,,,,
STOK,cached,,data/raw/s1_filings/STOK_2019-06-19.txt,data/raw/s1_filings/STOK_2019-06-19_risk_factors.txt,data/raw/s1_filings/STOK_2019-06-19_mda.txt
CHWY,cached,,data/raw/s1_filings/CHWY_2019-06-14.txt,data/raw/s1_filings/CHWY_2019-06-14_risk_factors.txt,data/raw/s1_filings/CHWY_2019-06-14_mda.txt
FVRR,cached,,data/raw/s1_filings/FVRR_2019-06-13.txt,data/raw/s1_filings/FVRR_2019-06-13_risk_factors.txt,data/raw/s1_filings/FVRR_2019-06-13_mda.txt
CRWD,no_filing,0001535527,,,
MWK,cik_not_found,,,,
HYAC,cik_not_found,,,,
RVLV,cached,,data/raw/s1_filings/RVLV_2019-06-07.txt,data/raw/s1_filings/RVLV_2019-06-07_risk_factors.txt,data/raw/s1_filings/RVLV_2019-06-07_mda.txt
GIX,no_filing,0002098712,,,
GOTU,cached,,data/raw/s1_filings/GOTU_2019-06-06.txt,data/raw/s1_filings/GOTU_2019-06-06_risk_factors.txt,data/raw/s1_filings/GOTU_2019-06-06_mda.txt
BCYC,cached,,data/raw/s1_filings/BCYC_2019-05-23.txt,data/raw/s1_filings/BCYC_2019-05-23_risk_factors.txt,data/raw/s1_filings/BCYC_2019-05-23_mda.txt
IDYA,cached,,data/raw/s1_filings/IDYA_2019-05-23.txt,data/raw/s1_filings/IDYA_2019-05-23_risk_factors.txt,data/raw/s1_filings/IDYA_2019-05-23_mda.txt
RTLR,cik_not_found,,,,
GXGX,cik_not_found,,,,
AVTR,cached,,data/raw/s1_filings/AVTR_2019-05-17.txt,data/raw/s1_filings/AVTR_2019-05-17_risk_factors.txt,data/raw/s1_filings/AVTR_2019-05-17_mda.txt
FSLY,no_filing,0001517413,,,
LKNCY,cached,,data/raw/s1_filings/LKNCY_2019-05-17.txt,data/raw/s1_filings/LKNCY_2019-05-17_risk_factors.txt,data/raw/s1_filings/LKNCY_2019-05-17_mda.txt
PSTL,no_filing,0001759774,,,
AGBA,cik_not_found,,,,
APLT,cik_not_found,,,,
JFIN,cached,,data/raw/s1_filings/JFIN_2019-05-10.txt,data/raw/s1_filings/JFIN_2019-05-10_risk_factors.txt,data/raw/s1_filings/JFIN_2019-05-10_mda.txt
SONM,cached,,data/raw/s1_filings/SONM_2019-05-10.txt,data/raw/s1_filings/SONM_2019-05-10_risk_factors.txt,data/raw/s1_filings/SONM_2019-05-10_mda.txt
UBER,no_filing,0001543151,,,
AXLA,cik_not_found,,,,
HHR,cik_not_found,,,,
MEC,cached,,data/raw/s1_filings/MEC_2019-05-09.txt,data/raw/s1_filings/MEC_2019-05-09_risk_factors.txt,data/raw/s1_filings/MEC_2019-05-09_mda.txt
NXTC,cached,,data/raw/s1_filings/NXTC_2019-05-09.txt,data/raw/s1_filings/NXTC_2019-05-09_risk_factors.txt,data/raw/s1_filings/NXTC_2019-05-09_mda.txt
QNCX,cached,,data/raw/s1_filings/QNCX_2019-05-09.txt,data/raw/s1_filings/QNCX_2019-05-09_risk_factors.txt,data/raw/s1_filings/QNCX_2019-05-09_mda.txt
SPFI,cached,,data/raw/s1_filings/SPFI_2019-05-09.txt,data/raw/s1_filings/SPFI_2019-05-09_risk_factors.txt,data/raw/s1_filings/SPFI_2019-05-09_mda.txt
PSN,cached,,data/raw/s1_filings/PSN_2019-05-08.txt,data/raw/s1_filings/PSN_2019-05-08_risk_factors.txt,data/raw/s1_filings/PSN_2019-05-08_mda.txt
LCA,cik_not_found,,,,
TRVI,cached,,data/raw/s1_filings/TRVI_2019-05-07.txt,data/raw/s1_filings/TRVI_2019-05-07_risk_factors.txt,data/raw/s1_filings/TRVI_2019-05-07_mda.txt
TBBA,cik_not_found,,,,
ATIF,cik_not_found,,,,
RRBI,cached,,data/raw/s1_filings/RRBI_2019-05-03.txt,data/raw/s1_filings/RRBI_2019-05-03_risk_factors.txt,data/raw/s1_filings/RRBI_2019-05-03_mda.txt
SCPL,cik_not_found,,,,
YJ,cached,,data/raw/s1_filings/YJ_2019-05-03.txt,data/raw/s1_filings/YJ_2019-05-03_risk_factors.txt,data/raw/s1_filings/YJ_2019-05-03_mda.txt
BYND,cached,,data/raw/s1_filings/BYND_2019-05-02.txt,data/raw/s1_filings/BYND_2019-05-02_risk_factors.txt,data/raw/s1_filings/BYND_2019-05-02_mda.txt
SY,cached,,data/raw/s1_filings/SY_2019-05-02.txt,data/raw/s1_filings/SY_2019-05-02_risk_factors.txt,data/raw/s1_filings/SY_2019-05-02_mda.txt
TMDX,cached,,data/raw/s1_filings/TMDX_2019-05-02.txt,data/raw/s1_filings/TMDX_2019-05-02_risk_factors.txt,data/raw/s1_filings/TMDX_2019-05-02_mda.txt
WAFU,cached,,data/raw/s1_filings/WAFU_2019-04-30.txt,data/raw/s1_filings/WAFU_2019-04-30_risk_factors.txt,data/raw/s1_filings/WAFU_2019-04-30_mda.txt
GNLN,cached,,data/raw/s1_filings/GNLN_2019-04-18.txt,data/raw/s1_filings/GNLN_2019-04-18_risk_factors.txt,data/raw/s1_filings/GNLN_2019-04-18_mda.txt
HOOK,cached,,data/raw/s1_filings/HOOK_2019-04-18.txt,data/raw/s1_filings/HOOK_2019-04-18_risk_factors.txt,data/raw/s1_filings/HOOK_2019-04-18_mda.txt
MNRL,cik_not_found,,,,
PINS,no_filing,0001506293,,,
ZM,no_filing,0001585521,,,
BWAY,cached,,data/raw/s1_filings/BWAY_2019-04-17.txt,data/raw/s1_filings/BWAY_2019-04-17_risk_factors.txt,data/raw/s1_filings/BWAY_2019-04-17_mda.txt
PLMR,cached,,data/raw/s1_filings/PLMR_2019-04-17.txt,data/raw/s1_filings/PLMR_2019-04-17_risk_factors.txt,data/raw/s1_filings/PLMR_2019-04-17_mda.txt
TPTX,cik_not_found,,,,
JMIA,cached,,data/raw/s1_filings/JMIA_2019-04-12.txt,data/raw/s1_filings/JMIA_2019-04-12_risk_factors.txt,data/raw/s1_filings/JMIA_2019-04-12_mda.txt
PD,cached,,data/raw/s1_filings/PD_2019-04-11.txt,data/raw/s1_filings/PD_2019-04-11_risk_factors.txt,data/raw/s1_filings/PD_2019-04-11_mda.txt
TUFN,cik_not_found,,,,
GHSI,cik_not_found,,,,
NGM,cik_not_found,,,,
RPLA,cik_not_found,,,,
SILK,cik_not_found,,,,
TW,cached,,data/raw/s1_filings/TW_2019-04-04.txt,data/raw/s1_filings/TW_2019-04-04_risk_factors.txt,data/raw/s1_filings/TW_2019-04-04_mda.txt
RUHN,cik_not_found,,,,
XTKG,cik_not_found,,,,
HPH,cik_not_found,,,,
LYFT,cached,,data/raw/s1_filings/LYFT_2019-03-29.txt,data/raw/s1_filings/LYFT_2019-03-29_risk_factors.txt,data/raw/s1_filings/LYFT_2019-03-29_mda.txt
DTIL,cached,,data/raw/s1_filings/DTIL_2019-03-28.txt,data/raw/s1_filings/DTIL_2019-03-28_risk_factors.txt,data/raw/s1_filings/DTIL_2019-03-28_mda.txt
JFK,cik_not_found,,,,
WTRE,cik_not_found,,,,
GNFT,cik_not_found,,,,
LEVI,no_filing,0000094845,,,
INSU,cik_not_found,,,,
TIGR,cached,,data/raw/s1_filings/TIGR_2019-03-20.txt,data/raw/s1_filings/TIGR_2019-03-20_risk_factors.txt,data/raw/s1_filings/TIGR_2019-03-20_mda.txt
TRNE,cik_not_found,,,,
CRSA,cik_not_found,,,,
FUTU,cached,,data/raw/s1_filings/FUTU_2019-03-08.txt,data/raw/s1_filings/FUTU_2019-03-08_risk_factors.txt,data/raw/s1_filings/FUTU_2019-03-08_mda.txt
SWAV,cik_not_found,,,,
THCB,cik_not_found,,,,
HCAC,no_filing,0002079013,,,
DPHC,cik_not_found,,,,
KLDO,cik_not_found,,,,
SHLL,cik_not_found,,,,
SLE,cached,,data/raw/s1_filings/SLE_2019-02-26.txt,data/raw/s1_filings/SLE_2019-02-26_risk_factors.txt,data/raw/s1_filings/SLE_2019-02-26_mda.txt
ACAM,cik_not_found,,,,
SOLY,cik_not_found,,,,
AREC,cached,,data/raw/s1_filings/AREC_2019-02-15.txt,data/raw/s1_filings/AREC_2019-02-15_risk_factors.txt,data/raw/s1_filings/AREC_2019-02-15_mda.txt
HOTH,cached,,data/raw/s1_filings/HOTH_2019-02-15.txt,data/raw/s1_filings/HOTH_2019-02-15_risk_factors.txt,data/raw/s1_filings/HOTH_2019-02-15_mda.txt
MITO,cik_not_found,,,,
AVDR,cik_not_found,,,,
TCRR,cik_not_found,,,,
BACK,cached,,data/raw/s1_filings/BACK_2019-02-13.txt,data/raw/s1_filings/BACK_2019-02-13_risk_factors.txt,data/raw/s1_filings/BACK_2019-02-13_mda.txt
ANCN,cik_not_found,,,,
GOSS,cached,,data/raw/s1_filings/GOSS_2019-02-08.txt,data/raw/s1_filings/GOSS_2019-02-08_risk_factors.txt,data/raw/s1_filings/GOSS_2019-02-08_mda.txt
HARP,cik_not_found,,,,
RMG,cik_not_found,,,,
ALEC,cached,,data/raw/s1_filings/ALEC_2019-02-07.txt,data/raw/s1_filings/ALEC_2019-02-07_risk_factors.txt,data/raw/s1_filings/ALEC_2019-02-07_mda.txt
MNCL,cik_not_found,,,,
INMB,cached,,data/raw/s1_filings/INMB_2019-02-04.txt,data/raw/s1_filings/INMB_2019-02-04_risk_factors.txt,data/raw/s1_filings/INMB_2019-02-04_mda.txt
IPV,cik_not_found,,,,
GMHI,cik_not_found,,,,
NFE,cached,,data/raw/s1_filings/NFE_2019-01-31.txt,data/raw/s1_filings/NFE_2019-01-31_risk_factors.txt,data/raw/s1_filings/NFE_2019-01-31_mda.txt
RBKB,cached,,data/raw/s1_filings/RBKB_2019-01-17.txt,data/raw/s1_filings/RBKB_2019-01-17_risk_factors.txt,data/raw/s1_filings/RBKB_2019-01-17_mda.txt
BCOW,no_filing,0001847360,,,
MDJH,cik_not_found,,,,
MTC,cached,,data/raw/s1_filings/MTC_2019-01-08.txt,data/raw/s1_filings/MTC_2019-01-08_risk_factors.txt,data/raw/s1_filings/MTC_2019-01-08_mda.txt
SXTC,cached,,data/raw/s1_filings/SXTC_2019-01-04.txt,data/raw/s1_filings/SXTC_2019-01-04_risk_factors.txt,data/raw/s1_filings/SXTC_2019-01-04_mda.txt
MRM,cached,,data/raw/s1_filings/MRM_2020-12-29.txt,data/raw/s1_filings/MRM_2020-12-29_risk_factors.txt,data/raw/s1_filings/MRM_2020-12-29_mda.txt
VTAQ,cik_not_found,,,,
CFIV,cik_not_found,,,,
GBS,cik_not_found,,,,
HCAR,cik_not_found,,,,
IKT,cached,,data/raw/s1_filings/IKT_2020-12-23.txt,data/raw/s1_filings/IKT_2020-12-23_risk_factors.txt,data/raw/s1_filings/IKT_2020-12-23_mda.txt
VHAQ,cik_not_found,,,,
VII,cik_not_found,,,,
ACKIT,cik_not_found,,,,
DUNE,cik_not_found,,,,
GFX,cik_not_found,,,,
IIII,cik_not_found,,,,
MASS,cached,,data/raw/s1_filings/MASS_2020-12-18.txt,data/raw/s1_filings/MASS_2020-12-18_risk_factors.txt,data/raw/s1_filings/MASS_2020-12-18_mda.txt
MTAC,cik_not_found,,,,
SVOK,cik_not_found,,,,
COOL,cik_not_found,,,,
MDWT,cik_not_found,,,,
SCOA,cik_not_found,,,,
VIRI,cik_not_found,,,,
BCAB,cached,,data/raw/s1_filings/BCAB_2020-12-16.txt,data/raw/s1_filings/BCAB_2020-12-16_risk_factors.txt,data/raw/s1_filings/BCAB_2020-12-16_mda.txt
CCV,cik_not_found,,,,
LOGC,no_filing,0002064307,,,
SCPS,cik_not_found,,,,
UPST,cached,,data/raw/s1_filings/UPST_2020-12-16.txt,data/raw/s1_filings/UPST_2020-12-16_risk_factors.txt,data/raw/s1_filings/UPST_2020-12-16_mda.txt
ATA,cik_not_found,,,,
BLUW,no_filing,0002050501,,,
KINZ,cik_not_found,,,,
MRAC,cik_not_found,,,,
OCG,cached,,data/raw/s1_filings/OCG_2020-12-15.txt,data/raw/s1_filings/OCG_2020-12-15_risk_factors.txt,data/raw/s1_filings/OCG_2020-12-15_mda.txt
WNW,cached,,data/raw/s1_filings/WNW_2020-12-15.txt,data/raw/s1_filings/WNW_2020-12-15_risk_factors.txt,data/raw/s1_filings/WNW_2020-12-15_mda.txt
ABCL,cached,,data/raw/s1_filings/ABCL_2020-12-11.txt,data/raw/s1_filings/ABCL_2020-12-11_risk_factors.txt,data/raw/s1_filings/ABCL_2020-12-11_mda.txt
CBAH,cik_not_found,,,,
CERT,cached,,data/raw/s1_filings/CERT_2020-12-11.txt,data/raw/s1_filings/CERT_2020-12-11_risk_factors.txt,data/raw/s1_filings/CERT_2020-12-11_mda.txt
DWIN,cik_not_found,,,,
EDTX,cik_not_found,,,,
FDMT,cached,,data/raw/s1_filings/FDMT_2020-12-11.txt,data/raw/s1_filings/FDMT_2020-12-11_risk_factors.txt,data/raw/s1_filings/FDMT_2020-12-11_mda.txt
GHVI,cik_not_found,,,,
GLAQ,cik_not_found,,,,
MOTV,cik_not_found,,,,
NBTX,cached,,data/raw/s1_filings/NBTX_2020-12-11.txt,data/raw/s1_filings/NBTX_2020-12-11_risk_factors.txt,data/raw/s1_filings/NBTX_2020-12-11_mda.txt
ROCC,cik_not_found,,,,
SNRH,cik_not_found,,,,
TVAC,cik_not_found,,,,
VVOS,cached,,data/raw/s1_filings/VVOS_2020-12-11.txt,data/raw/s1_filings/VVOS_2020-12-11_risk_factors.txt,data/raw/s1_filings/VVOS_2020-12-11_mda.txt
ABNB,no_filing,0001559720,,,
CTAQ,cik_not_found,,,,
HYFM,cached,,data/raw/s1_filings/HYFM_2020-12-10.txt,data/raw/s1_filings/HYFM_2020-12-10_risk_factors.txt,data/raw/s1_filings/HYFM_2020-12-10_mda.txt
PCPC,cik_not_found,,,,
RMGB,cik_not_found,,,,
AI,cached,,data/raw/s1_filings/AI_2020-12-09.txt,data/raw/s1_filings/AI_2020-12-09_risk_factors.txt,data/raw/s1_filings/AI_2020-12-09_mda.txt
ALTU,cik_not_found,,,,
DASH,no_filing,0001792789,,,
FLAC,cik_not_found,,,,
HMCO,cik_not_found,,,,
NEBC,cik_not_found,,,,
PUBM,cached,,data/raw/s1_filings/PUBM_2020-12-09.txt,data/raw/s1_filings/PUBM_2020-12-09_risk_factors.txt,data/raw/s1_filings/PUBM_2020-12-09_mda.txt
CND,cik_not_found,,,,
DDMX,cik_not_found,,,,
MUDS,cik_not_found,,,,
RAAC,cik_not_found,,,,
FTCV,cik_not_found,,,,
PTIC,cik_not_found,,,,
SBTX,cik_not_found,,,,
SEER,cached,,data/raw/s1_filings/SEER_2020-12-04.txt,data/raw/s1_filings/SEER_2020-12-04_risk_factors.txt,data/raw/s1_filings/SEER_2020-12-04_mda.txt
SGTX,cik_not_found,,,,
YQ,cached,,data/raw/s1_filings/YQ_2020-12-04.txt,data/raw/s1_filings/YQ_2020-12-04_risk_factors.txt,data/raw/s1_filings/YQ_2020-12-04_mda.txt
DCBO,no_filing,0001829959,,,
FPAC,cik_not_found,,,,
HTPA,cik_not_found,,,,
KNTE,cik_not_found,,,,
LOKB,cik_not_found,,,,
SPFR,cik_not_found,,,,
CAP,cik_not_found,,,,
RSVA,cik_not_found,,,,
TACA,cik_not_found,,,,
SGAM,cik_not_found,,,,
FRX,cik_not_found,,,,
SPRQ,cik_not_found,,,,
GNPK,cik_not_found,,,,
HFEN,cik_not_found,,,,
OZON,cik_not_found,,,,
SV,cik_not_found,,,,
TINV,cik_not_found,,,,
VCVC,cik_not_found,,,,
VMAR,cached,,data/raw/s1_filings/VMAR_2020-11-24.txt,data/raw/s1_filings/VMAR_2020-11-24_risk_factors.txt,data/raw/s1_filings/VMAR_2020-11-24_mda.txt
BREZ,no_filing,0002095443,,,
ARBG,cik_not_found,,,,
CAS,cik_not_found,,,,
KWAC,cik_not_found,,,,
LSAQ,cik_not_found,,,,
MRVI,cached,,data/raw/s1_filings/MRVI_2020-11-20.txt,data/raw/s1_filings/MRVI_2020-11-20_risk_factors.txt,data/raw/s1_filings/MRVI_2020-11-20_mda.txt
OCA,cik_not_found,,,,
SHC,cached,,data/raw/s1_filings/SHC_2020-11-20.txt,data/raw/s1_filings/SHC_2020-11-20_risk_factors.txt,data/raw/s1_filings/SHC_2020-11-20_mda.txt
CHFW,cik_not_found,,,,
IIAC,cik_not_found,,,,
JYAC,cik_not_found,,,,
LNFA,cik_not_found,,,,
NGMS,cik_not_found,,,,
OLMA,cached,,data/raw/s1_filings/OLMA_2020-11-19.txt,data/raw/s1_filings/OLMA_2020-11-19_risk_factors.txt,data/raw/s1_filings/OLMA_2020-11-19_mda.txt
RTPZ,cik_not_found,,,,
TLS,cached,,data/raw/s1_filings/TLS_2020-11-19.txt,data/raw/s1_filings/TLS_2020-11-19_risk_factors.txt,data/raw/s1_filings/TLS_2020-11-19_mda.txt
YSG,cached,,data/raw/s1_filings/YSG_2020-11-19.txt,data/raw/s1_filings/YSG_2020-11-19_risk_factors.txt,data/raw/s1_filings/YSG_2020-11-19_mda.txt
PHIC,cik_not_found,,,,
DGNS,cik_not_found,,,,
OTRA,cik_not_found,,,,
PIPP,cik_not_found,,,,
ZNTE,cik_not_found,,,,
BWAC,cik_not_found,,,,
CFAC,cik_not_found,,,,
DMYI,cik_not_found,,,,
HAAC,cik_not_found,,,,
NOAC,cik_not_found,,,,
STIC,cik_not_found,,,,
ADOC,cik_not_found,,,,
TSIA,cik_not_found,,,,
DBDR,cik_not_found,,,,
AVIR,cached,,data/raw/s1_filings/AVIR_2020-10-30.txt,data/raw/s1_filings/AVIR_2020-10-30_risk_factors.txt,data/raw/s1_filings/AVIR_2020-10-30_mda.txt
BHSE,cik_not_found,,,,
BNKK,cached,,data/raw/s1_filings/BNKK_2020-10-30.txt,data/raw/s1_filings/BNKK_2020-10-30_risk_factors.txt,data/raw/s1_filings/BNKK_2020-10-30_mda.txt
CNXX,cik_not_found,,,,
